ID_MATERIEL,TYPE,MODELE,IMPACT
BERLIN_MATERIEL_INFO_202608260,,modèle par défaut,350
BERLIN_MATERIEL_INFO_202608261,PC fixe tout-en-un,,352
BERLIN_MATERIEL_INFO_202608262,PC fixe sans ecran,Optiplex micro,174
LONDON_MATERIEL_INFO_202608260,PC fixe sans ecran,,350
LONDON_MATERIEL_INFO_202608261,PC fixe sans ecran,EliteDesk DM,230
LONDON_MATERIEL_INFO_202608262,,modèle par défaut,350
LONDON_MATERIEL_INFO_202608263,PC portable,MacBook air,250
LA_MATERIEL_INFO_202608260,Telephone IP,modèle par défaut,17
LA_MATERIEL_INFO_202608261,PC fixe sans ecran,Precision tower 7xxx,555
LA_MATERIEL_INFO_202608262,Serveur,Modèle par défaut,1300
LA_MATERIEL_INFO_202608263,,Mac pro,900
LA_MATERIEL_INFO_202608264,clavier,modèle par défaut,24
LA_MATERIEL_INFO_202608265,,Laser A3 (>100kg),1800
LA_MATERIEL_INFO_202608266,PC portable,EliteBook 8xx,290
LA_MATERIEL_INFO_202608267,PC fixe sans ecran,Precision tower 3xxx,285
LA_MATERIEL_INFO_202608268,PC portable,ProBook,226
NewYork_MATERIEL_INFO_202608260,,OMEN,290
NewYork_MATERIEL_INFO_202608261,PC portable,MacBook pro 15/16pouces,330
NewYork_MATERIEL_INFO_202608262,PC fixe sans ecran,OMEN,290
NewYork_MATERIEL_INFO_202608263,Serveur,Serveur de stockage,2500
Paris_MATERIEL_INFO_202608260,Serveur,Serveur de stockage,2500
Paris_MATERIEL_INFO_202608261,PC portable,Chromebook 14-15pouces,170
Paris_MATERIEL_INFO_202608262,PC fixe sans ecran,"Prodesk (Tower, SFF)",322
Shanghai_MATERIEL_INFO_202608260,PC portable,,260
Shanghai_MATERIEL_INFO_202608261,,modèle par défaut,350
Shanghai_MATERIEL_INFO_202608262,PC portable,MacBook pro 13pouces,256
Shanghai_MATERIEL_INFO_202608263,imprimante,Laser à poser (<40kg),430
Shanghai_MATERIEL_INFO_202608264,,Moyenne 13pouces,250
Shanghai_MATERIEL_INFO_202608265,PC portable,MacBook air retina,176
