ID_MISSION,TYPE_MISSION,VILLE_DEPART,PAYS_DEPART,VILLE_DESTINATION,PAYS_DESTINATION,TRANSPORT,ALLER_RETOUR,DISTANCE_KM,CO2EQ,IMPACT
BERLIN_202610310,Développement,Berlin,Allemagne,Melbourne,Australia,Avion,non,15966.2,0.152,2426.8624
BERLIN_202610311,Conférence,Berlin,Allemagne,Rabat,Maroc,Avion,oui,2611.82,0.1875,979.4325
BERLIN_202610312,Formation,Paris,France,Montreal,Canada,Avion,oui,5518.97,0.152,1677.7669
BERLIN_202610313,Conférence,Berlin,Allemagne,Lille,France,Avion,non,745.42,0.2586,192.7656
BERLIN_202610314,Formation,Berlin,Allemagne,Lima,Peru,Avion,oui,11089.69,0.152,3371.2658
BERLIN_202610315,Réunion,Berlin,Allemagne,London,England,Avion,oui,933.84,0.2586,482.982
BERLIN_202610316,Développement,Berlin,Allemagne,Auckland,New Zealand,Avion,oui,17741.48,0.152,5393.4099
BERLIN_202610317,Développement,Berlin,Allemagne,Wellington,New Zealand,Avion,oui,18132.94,0.152,5512.4138
BERLIN_202610318,Réunion,Paris,France,Sao Paulo,Brazil,Avion,oui,9376.93,0.152,2850.5867
LONDON_202610310,Développement,London,England,Oslo,Norvège,Avion,oui,1155.53,0.1875,433.3238
LONDON_202610311,Formation,London,England,Lille,France,Avion,oui,243.73,0.2586,126.0572
LONDON_202610312,Rencontre entreprises,London,England,Melbourne,Australia,Avion,oui,16898.58,0.152,5137.1683
LONDON_202610313,Réunion,London,England,Rabat,Maroc,Avion,oui,2016.55,0.1875,756.2062
LONDON_202610314,Formation,London,England,Sidney,Australia,Avion,oui,16989.32,0.152,5164.7533
LONDON_202610315,Conférence,London,England,Stockholm,Suède,Avion,oui,1436.38,0.1875,538.6425
LONDON_202610316,Rencontre entreprises,London,England,Compiègne,France,Avion,oui,313.03,0.2586,161.8991
LONDON_202610317,Formation,London,England,Tokyo,Japan,Avion,oui,9586.22,0.152,2914.2109
LONDON_202610318,Rencontre entreprises,London,England,Washington,USA,Avion,non,5913.79,0.152,898.8961
LONDON_202610319,Formation,New-York,USA,Berlin,Allemagne,Avion,oui,6401.96,0.152,1946.1958
LONDON_2026103110,Développement,London,England,Stockholm,Suède,Avion,oui,1436.38,0.1875,538.6425
LONDON_2026103111,Conférence,London,England,Sidney,Australia,Avion,oui,16989.32,0.152,5164.7533
LONDON_2026103112,Conférence,London,England,Melbourne,Australia,Avion,non,16898.58,0.152,2568.5842
LONDON_2026103113,Réunion,London,England,Oslo,Norvège,Avion,oui,1155.53,0.1875,433.3238
LONDON_2026103114,Réunion,London,England,Washington,USA,Avion,oui,5913.79,0.152,1797.7922
LONDON_2026103115,Réunion,London,England,New-York,USA,Avion,oui,5585.24,0.152,1697.913
LONDON_2026103116,Formation,Paris,France,Montreal,Canada,Avion,oui,5518.97,0.152,1677.7669
LONDON_2026103117,Développement,London,England,Auckland,New Zealand,Avion,oui,18327.05,0.152,5571.4232
LONDON_2026103118,Réunion,London,England,Vancouver,Canada,Avion,oui,7603.17,0.152,2311.3637
LONDON_2026103119,Conférence,London,England,Bordeaux,France,Avion,oui,742.0,0.2586,383.7624
LONDON_2026103120,Conférence,Paris,France,Alger,Algeria,Avion,non,1343.96,0.1875,251.9925
LONDON_2026103121,Formation,Paris,France,Oslo,Norvège,Avion,oui,1344.07,0.1875,504.0262
LONDON_2026103122,Rencontre entreprises,London,England,Alger,Algeria,Avion,oui,1656.55,0.1875,621.2062
LONDON_2026103123,Rencontre entreprises,London,England,Shanghai,China,Avion,oui,9217.19,0.152,2802.0258
LONDON_2026103124,Réunion,London,England,Helsinki,Finlande,Avion,oui,1826.16,0.1875,684.81
LA_202610310,Développement,Los Angeles,USA,Marseille,France,Avion,oui,9710.11,0.152,2951.8734
LA_202610311,Développement,Los Angeles,USA,Wellington,New Zealand,Avion,oui,10792.01,0.152,3280.771
LA_202610312,Rencontre entreprises,Los Angeles,USA,Lille,France,Avion,oui,9006.0,0.152,2737.824
LA_202610313,Rencontre entreprises,Los Angeles,USA,Sidney,Australia,Avion,oui,12063.41,0.152,3667.2766
LA_202610314,Formation,Los Angeles,USA,Compiègne,France,Avion,oui,9088.34,0.152,2762.8554
LA_202610315,Développement,Los Angeles,USA,Lima,Peru,Avion,oui,6710.85,0.152,2040.0984
LA_202610316,Conférence,Shanghai,China,Marseille,France,Avion,oui,9506.13,0.152,2889.8635
LA_202610317,Formation,Los Angeles,USA,Tokyo,Japan,Avion,oui,8829.92,0.152,2684.2957
LA_202610318,Conférence,Los Angeles,USA,Oslo,Norvège,Avion,non,8594.06,0.152,1306.2971
LA_202610319,Développement,Los Angeles,USA,Tunis,Tunisie,Avion,oui,10721.25,0.152,3259.26
LA_2026103110,Conférence,Los Angeles,USA,Dubaï,Emirats,Avion,non,13403.76,0.152,2037.3715
LA_2026103111,Réunion,Los Angeles,USA,Vancouver,Canada,Avion,oui,1736.12,0.1875,651.045
LA_2026103112,Réunion,Los Angeles,USA,Bogota,Colombia,Avion,oui,5598.11,0.152,1701.8254
LA_2026103113,Rencontre entreprises,Los Angeles,USA,Buenos Aires,Argentina,Avion,oui,9831.47,0.152,2988.7669
LA_2026103114,Formation,Los Angeles,USA,Buenos Aires,Argentina,Avion,oui,9831.47,0.152,2988.7669
LA_2026103115,Conférence,Los Angeles,USA,Stockholm,Suède,Avion,oui,8902.33,0.152,2706.3083
LA_2026103116,Conférence,Los Angeles,USA,Tokyo,Japan,Avion,non,8829.92,0.152,1342.1478
