ID_MATERIEL,TYPE,MODELE,IMPACT
BERLIN_MATERIEL_INFO_202610170,PC portable,EliteBook 10xx,223
BERLIN_MATERIEL_INFO_202610171,PC portable,EliteBook 6xx,175
BERLIN_MATERIEL_INFO_202610172,PC fixe sans ecran,PC Fixe (moy),300
BERLIN_MATERIEL_INFO_202610173,,Serveur de stockage,2500
BERLIN_MATERIEL_INFO_202610174,PC fixe sans ecran,Mac pro,900
BERLIN_MATERIEL_INFO_202610175,,Pour amphi,200
LONDON_MATERIEL_INFO_202610170,PC fixe sans ecran,ZHAN,264
LONDON_MATERIEL_INFO_202610171,Vidéo projecteur,modèle par défaut,94
LONDON_MATERIEL_INFO_202610172,PC portable,ZBook,303
LONDON_MATERIEL_INFO_202610173,PC fixe sans ecran,Rasberry pi 4,15
LONDON_MATERIEL_INFO_202610174,,iMac 27pouces retina,450
LONDON_MATERIEL_INFO_202610175,Borne wifi,modèle par défaut,10
LONDON_MATERIEL_INFO_202610176,PC portable,Latitude 5xxx,300
LONDON_MATERIEL_INFO_202610177,PC fixe sans ecran,Precision tower 7xxx,555
LONDON_MATERIEL_INFO_202610178,,modèle par défaut,350
LONDON_MATERIEL_INFO_202610179,,Optiplex tower,260
LONDON_MATERIEL_INFO_2026101710,Station d'accueil,modèle par défaut,26
LA_MATERIEL_INFO_202610170,PC portable,Latitude 7xxx,264
LA_MATERIEL_INFO_202610171,PC fixe tout-en-un,iMac 27pouces retina,450
LA_MATERIEL_INFO_202610172,Vidéo projecteur,,94
LA_MATERIEL_INFO_202610173,Serveur,Noeud de calcul,1300
LA_MATERIEL_INFO_202610174,Vidéo projecteur,Pour salle,150
LA_MATERIEL_INFO_202610175,PC fixe sans ecran,Precision tower 3xxx,285
LA_MATERIEL_INFO_202610176,,Station de travail (moy),600
LA_MATERIEL_INFO_202610177,PC fixe sans ecran,Optiplex small,240
LA_MATERIEL_INFO_202610178,PC fixe sans ecran,PC Fixe (moy),300
LA_MATERIEL_INFO_202610179,,Serveur de stockage,2500
LA_MATERIEL_INFO_2026101710,PC fixe tout-en-un,Optiplex All-in-One 5xxx,318
LA_MATERIEL_INFO_2026101711,Borne wifi,modèle par défaut,10
NewYork_MATERIEL_INFO_202610170,PC fixe sans ecran,Mac mini,270
NewYork_MATERIEL_INFO_202610171,Station d'accueil,,26
NewYork_MATERIEL_INFO_202610172,,Victus,267
NewYork_MATERIEL_INFO_202610173,,Serveur de stockage,2500
NewYork_MATERIEL_INFO_202610174,Borne wifi,modèle par défaut,10
NewYork_MATERIEL_INFO_202610175,PC portable,ZBook Studio,379
NewYork_MATERIEL_INFO_202610176,Ecran,,430
NewYork_MATERIEL_INFO_202610177,,iMac 27pouces retina,450
NewYork_MATERIEL_INFO_202610178,,Moyenne 13pouces,250
NewYork_MATERIEL_INFO_202610179,PC portable,Latitude 7xxx,264
NewYork_MATERIEL_INFO_2026101710,PC fixe sans ecran,PC Fixe (moy),300
NewYork_MATERIEL_INFO_2026101711,PC portable,MacBook air,250
NewYork_MATERIEL_INFO_2026101712,PC fixe tout-en-un,Mac pro,900
Paris_MATERIEL_INFO_202610170,PC fixe sans ecran,ProDesk mini/DM,100
Paris_MATERIEL_INFO_202610171,PC portable,,260
Paris_MATERIEL_INFO_202610172,Vidéo projecteur,Pour amphi,200
Paris_MATERIEL_INFO_202610173,PC portable,ProBook,226
Paris_MATERIEL_INFO_202610174,Vidéo projecteur,modèle par défaut,94
Paris_MATERIEL_INFO_202610175,PC fixe tout-en-un,,352
Paris_MATERIEL_INFO_202610176,PC fixe sans ecran,Z,409
Shanghai_MATERIEL_INFO_202610170,PC fixe sans ecran,Optiplex small,240
Shanghai_MATERIEL_INFO_202610171,PC portable,EliteBook 10xx,223
Shanghai_MATERIEL_INFO_202610172,PC portable,EliteBook 8xx,290
Shanghai_MATERIEL_INFO_202610173,,24pouces-31pouces,430
Shanghai_MATERIEL_INFO_202610174,PC portable,Precision 7xxx,304
Shanghai_MATERIEL_INFO_202610175,PC fixe sans ecran,Optiplex small,240
Shanghai_MATERIEL_INFO_202610176,Vidéo projecteur,Pour salle,150
Shanghai_MATERIEL_INFO_202610177,,modèle par défaut,350
Shanghai_MATERIEL_INFO_202610178,PC fixe sans ecran,EliteDesk DM,230
Shanghai_MATERIEL_INFO_202610179,PC fixe sans ecran,Optiplex tower,260
Shanghai_MATERIEL_INFO_2026101710,PC portable,modèle par défaut,260
Shanghai_MATERIEL_INFO_2026101711,PC fixe sans ecran,ProDesk mini/DM,100
