ID_MATERIEL,TYPE,MODELE,IMPACT
BERLIN_MATERIEL_INFO_202606230,PC fixe sans ecran,"Elite (Tower, SFF, One)",393
BERLIN_MATERIEL_INFO_202606231,PC fixe tout-en-un,,352
BERLIN_MATERIEL_INFO_202606232,PC portable,,260
BERLIN_MATERIEL_INFO_202606233,,Chromebook 11-13pouces,175
BERLIN_MATERIEL_INFO_202606234,,modèle par défaut,350
BERLIN_MATERIEL_INFO_202606235,PC portable,Latitude 7xxx,264
LONDON_MATERIEL_INFO_202606230,PC portable,EliteBook 6xx,175
LONDON_MATERIEL_INFO_202606231,PC portable,ProBook,226
LA_MATERIEL_INFO_202606230,,Serveur de stockage,2500
LA_MATERIEL_INFO_202606231,PC portable,Moyenne 13pouces,250
LA_MATERIEL_INFO_202606232,,MacBook pro 13pouces,256
LA_MATERIEL_INFO_202606233,PC portable,,260
NewYork_MATERIEL_INFO_202606230,PC fixe tout-en-un,,352
NewYork_MATERIEL_INFO_202606231,Vidéo projecteur,Pour salle,150
NewYork_MATERIEL_INFO_202606232,imprimante,modèle par défaut,500
NewYork_MATERIEL_INFO_202606233,PC portable,MacBook air pre-retina,310
NewYork_MATERIEL_INFO_202606234,Ecran,,430
Paris_MATERIEL_INFO_202606230,PC fixe sans ecran,ProDesk mini/DM,100
Paris_MATERIEL_INFO_202606231,PC portable,Moyenne 14/15pouces,294
Paris_MATERIEL_INFO_202606232,PC portable,Latitude 5xxx,300
Paris_MATERIEL_INFO_202606233,PC portable,OMEN,290
Paris_MATERIEL_INFO_202606234,PC fixe sans ecran,Precision tower 7xxx,555
Paris_MATERIEL_INFO_202606235,PC fixe sans ecran,Wyse thin client,69
Paris_MATERIEL_INFO_202606236,Serveur,Noeud de calcul,1300
Paris_MATERIEL_INFO_202606237,PC fixe tout-en-un,Optiplex All-in-One 7xxx,382
Paris_MATERIEL_INFO_202606238,Vidéo projecteur,Pour salle,150
Paris_MATERIEL_INFO_202606239,,modèle par défaut,350
Paris_MATERIEL_INFO_2026062310,Ecran,24pouces-31pouces,430
Paris_MATERIEL_INFO_2026062311,PC portable,,260
Paris_MATERIEL_INFO_2026062312,PC portable,Latitude 5xxx,300
Paris_MATERIEL_INFO_2026062313,PC portable,Moyenne 13pouces,250
Shanghai_MATERIEL_INFO_202606230,,modèle par défaut,350
Shanghai_MATERIEL_INFO_202606231,PC portable,Precision 7xxx,304
Shanghai_MATERIEL_INFO_202606232,Vidéo projecteur,Transportable,94
Shanghai_MATERIEL_INFO_202606233,PC fixe sans ecran,"EliteDesk (Tower, SFF, One)",393
Shanghai_MATERIEL_INFO_202606234,Smartphone,modèle par défaut,63
Shanghai_MATERIEL_INFO_202606235,PC fixe sans ecran,"Prodesk (Tower, SFF)",322
Shanghai_MATERIEL_INFO_202606236,PC fixe sans ecran,Precision tower 7xxx,555
