ID_MATERIEL,TYPE,MODELE,IMPACT
BERLIN_MATERIEL_INFO_202610180,Vidéo projecteur,Pour amphi,200
BERLIN_MATERIEL_INFO_202610181,PC portable,OMEN,290
BERLIN_MATERIEL_INFO_202610182,PC portable,ZBook Studio,379
BERLIN_MATERIEL_INFO_202610183,PC portable,Chromebook 11-13pouces,175
BERLIN_MATERIEL_INFO_202610184,PC portable,Latitude 5xxx,300
BERLIN_MATERIEL_INFO_202610185,,iMac pro,700
LONDON_MATERIEL_INFO_202610180,PC fixe tout-en-un,Optiplex All-in-One 3xxx,241
LONDON_MATERIEL_INFO_202610181,PC fixe sans ecran,Z,409
LONDON_MATERIEL_INFO_202610182,,Mac pro,900
LONDON_MATERIEL_INFO_202610183,imprimante,Laser à poser (<40kg),430
LONDON_MATERIEL_INFO_202610184,PC fixe tout-en-un,Mac pro,900
LONDON_MATERIEL_INFO_202610185,,32pouces et plus,590
LA_MATERIEL_INFO_202610180,PC fixe sans ecran,modèle par défaut,350
LA_MATERIEL_INFO_202610181,PC portable,Chromebook 14-15pouces,170
LA_MATERIEL_INFO_202610182,,OMEN,290
LA_MATERIEL_INFO_202610183,,EliteBook 8xx,290
LA_MATERIEL_INFO_202610184,imprimante,Laser à poser (<40kg),430
LA_MATERIEL_INFO_202610185,,ZBook Studio,379
LA_MATERIEL_INFO_202610186,,modèle par défaut,350
NewYork_MATERIEL_INFO_202610180,PC portable,MacBook pro 15/16pouces,330
NewYork_MATERIEL_INFO_202610181,PC fixe sans ecran,Optiplex micro,174
NewYork_MATERIEL_INFO_202610182,,MacBook pro 15/16pouces,330
NewYork_MATERIEL_INFO_202610183,PC fixe sans ecran,Optiplex micro,174
NewYork_MATERIEL_INFO_202610184,PC portable,MacBook air,250
NewYork_MATERIEL_INFO_202610185,Ecran,jusqu'à 23pouces,350
NewYork_MATERIEL_INFO_202610186,PC portable,,260
NewYork_MATERIEL_INFO_202610187,Serveur,Serveur de stockage,2500
NewYork_MATERIEL_INFO_202610188,PC portable,Moyenne 14/15pouces,294
NewYork_MATERIEL_INFO_202610189,PC fixe tout-en-un,iMac 27pouces retina,450
NewYork_MATERIEL_INFO_2026101810,PC fixe sans ecran,Mac pro,900
Paris_MATERIEL_INFO_202610180,Serveur,Modèle par défaut,1300
Paris_MATERIEL_INFO_202610181,PC fixe sans ecran,Optiplex small,240
Paris_MATERIEL_INFO_202610182,PC portable,MacBook pro 15/16pouces,330
Shanghai_MATERIEL_INFO_202610180,PC portable,EliteBook 6xx,175
